frame,time_s,mean_luma,median_luma,p5_luma,p95_luma,rms_contrast,clip_low_pct,clip_high_pct,exposure_index,classification
130,10.8333,29.8675,27.3438,13.118,49.361,12.6721,0.0437,0.0,0.2531,very dark
132,11.0,29.9189,27.408,13.118,49.361,12.6373,0.0335,0.0,0.2535,very dark
134,11.1667,29.9019,27.3358,13.118,49.361,12.6413,0.0289,0.0,0.2534,very dark
136,11.3333,29.9092,27.3358,13.118,49.361,12.6413,0.0274,0.0,0.2535,very dark
138,11.5,29.8988,27.3358,13.118,49.361,12.6353,0.0247,0.0,0.2534,very dark
140,11.6667,29.8993,27.3358,13.118,49.361,12.6327,0.0253,0.0,0.2534,very dark
142,11.8333,29.8987,27.3358,13.118,49.361,12.6343,0.0253,0.0,0.2534,very dark
144,12.0,29.8659,27.3358,13.071,49.361,12.6675,0.0371,0.0,0.2531,very dark
146,12.1667,29.864,27.3358,13.0458,49.361,12.6639,0.0359,0.0,0.2531,very dark
148,12.3333,29.8763,27.3358,13.0458,49.361,12.668,0.0353,0.0,0.2532,very dark
150,12.5,29.8804,27.3358,13.0458,49.361,12.6684,0.0353,0.0,0.2532,very dark
152,12.6667,29.8815,27.3358,13.118,49.361,12.6771,0.0341,0.0,0.2532,very dark
154,12.8333,29.8845,27.3358,13.118,49.361,12.6728,0.0329,0.0,0.2533,very dark
156,13.0,29.8795,27.2756,13.0458,49.361,12.6911,0.0428,0.0,0.2532,very dark
158,13.1667,29.8697,27.2166,13.0458,49.361,12.6859,0.0401,0.0,0.2531,very dark
160,13.3333,29.8625,27.2166,13.0458,49.361,12.6805,0.0437,0.0,0.2531,very dark
162,13.5,29.8615,27.2166,13.0458,49.361,12.68,0.0431,0.0,0.2531,very dark
164,13.6667,29.8594,27.2166,13.0458,49.361,12.6771,0.0419,0.0,0.253,very dark
166,13.8333,29.8588,27.2166,13.0458,49.361,12.6734,0.0356,0.0,0.253,very dark
168,14.0,29.8526,27.3358,13.0458,49.361,12.671,0.0485,0.0,0.253,very dark
170,14.1667,29.8394,27.2166,13.0458,49.361,12.6723,0.0389,0.0,0.2529,very dark
172,14.3333,29.8296,27.2166,13.0458,49.361,12.6731,0.0389,0.0,0.2528,very dark
174,14.5,29.7935,27.2166,13.0458,49.361,12.6784,0.0374,0.0,0.2525,very dark
176,14.6667,29.7477,27.1352,12.9868,49.361,12.6917,0.0425,0.0,0.2521,very dark
178,14.8333,29.5066,27.0458,12.0538,49.361,12.972,0.8943,0.0,0.2501,very dark
180,15.0,29.0799,26.9828,10.412,49.361,13.4811,2.7657,0.0,0.2464,very dark
182,15.1667,30.0904,28.2166,9.1444,50.5788,16.3558,3.342,0.0,0.255,very dark
184,15.3333,29.9282,28.2166,6.7782,50.5788,16.5583,4.3394,0.0,0.2536,very dark
186,15.5,29.9426,28.7822,5.6338,50.5788,16.6571,4.8005,0.0,0.2538,very dark
188,15.6667,29.9227,28.6206,5.2166,50.5788,16.5808,4.8611,0.0,0.2536,very dark
190,15.8333,29.6586,27.71,5.71,50.5788,16.6178,4.7173,0.0003,0.2513,very dark
192,16.0,29.6343,27.655,6.4842,50.2258,16.4457,4.3403,0.0,0.2511,very dark
194,16.1667,29.5978,27.361,6.7822,50.2258,16.3095,4.0455,0.0,0.2508,very dark
196,16.3333,29.6553,27.1914,8.122,50.9428,16.307,3.6458,0.0,0.2513,very dark
198,16.5,30.7419,28.361,9.1404,51.5788,17.8079,3.0813,0.0,0.2605,very dark
200,16.6667,30.3211,27.408,9.773,51.5788,16.3214,2.7696,0.0,0.257,very dark
