axis,level,retention,mean_conf,mean_iou,det_per_frame
blur,0,1.0,0.8115678191731829,1.0,0.7315436241610739
blur,9,0.9403669724770642,0.8280614089675066,0.9561496376991272,0.7449664429530202
blur,17,0.8623853211009175,0.7453202895344572,0.8980252146720886,0.7281879194630873
blur,25,0.5871559633027523,0.6441124090924859,0.8343579769134521,0.4865771812080537
light,0.3,0.9220183486238532,0.8155806184704624,0.9758962988853455,0.7080536912751678
light,0.6,0.9724770642201835,0.817825436873256,0.9874827265739441,0.7214765100671141
light,1.0,1.0,0.8115678191731829,1.0,0.7315436241610739
light,1.8,0.9678899082568807,0.8287391308077139,0.9808905124664307,0.7248322147651006
