frame,n_dets_high,n_dets_low,n_active,n_lost,n_new,n_removed_total,ids_active
91,12,0,11,4,0,183,5 7 44 58 89 99 101 105 120 141 142
92,13,0,11,4,0,184,5 7 44 58 89 99 101 105 120 141 142
93,10,0,10,5,0,186,5 7 44 58 89 99 101 105 120 142
94,11,0,10,5,0,186,5 7 44 58 89 99 101 105 120 142
95,12,0,9,6,0,187,5 7 58 89 99 101 105 120 142
96,11,0,8,7,0,190,5 58 89 99 101 105 120 142
97,13,0,11,5,3,192,5 7 23 58 89 99 101 105 120 142 188
98,13,0,10,6,0,194,7 23 58 89 99 101 105 120 142 188
99,11,0,10,6,1,197,5 7 58 89 99 101 105 120 142 188
100,8,0,8,8,0,198,5 7 58 99 101 105 120 142
101,10,0,9,7,2,198,5 7 23 58 99 101 120 142 188
102,13,0,8,8,0,199,5 7 23 58 99 101 142 188
103,12,0,9,7,2,204,5 7 23 58 99 101 105 120 142
104,14,0,9,7,1,207,5 7 23 58 99 101 105 142 188
105,14,0,10,7,1,211,5 7 23 58 99 101 105 142 188 205
106,13,0,8,9,1,215,5 7 10 58 101 105 142 188
107,10,0,8,9,1,220,5 7 58 101 105 120 142 188
108,11,0,7,10,0,222,5 7 58 101 105 142 188
109,8,0,7,10,1,226,5 7 58 101 105 120 188
110,9,0,6,11,0,227,5 7 58 101 120 188
111,8,0,6,11,0,231,5 7 58 101 120 188
112,6,0,5,11,0,234,5 7 58 120 188
113,4,0,3,13,0,235,58 120 188
114,5,0,4,13,1,235,58 120 188 232
115,4,0,3,14,0,236,58 120 188
116,3,0,3,14,0,237,58 120 188
117,4,0,3,14,0,237,58 120 188
118,7,0,4,13,1,238,7 58 120 188
119,4,0,3,14,0,241,58 120 188
